artist,Alien Workshop,DC Shoes,̩S Footwear,Fourstar Clothing,Habitat Skateboards,Polar Skate Co,Pyramid Country,Real Skateboards,Thrasher Magazine,Transworld Skateboarding,Zoo York
?,0,2,0,0,0,0,1,0,0,1,0
AC/DC,0,0,0,0,0,0,0,3,0,0,1
Adeodat Warfield,0,0,0,0,0,0,11,0,0,0,0
Arcade Fire,0,0,0,4,0,0,0,0,0,0,0
Atiba,0,0,0,0,0,0,0,0,0,12,0
Bad Religion,0,0,0,0,0,0,0,1,3,0,0
Bad Shit,0,0,0,0,0,0,0,0,15,0,0
Beck,0,0,0,1,0,0,0,0,0,1,0
Big L,0,0,0,0,0,0,0,0,0,0,1
Black Sabbath,0,0,0,0,1,0,0,0,0,0,0
CKY,0,0,1,0,0,0,0,0,0,0,0
Curtis Mayfield,0,1,0,0,1,0,0,0,0,0,0
Cymande,0,0,0,0,1,0,0,0,0,1,0
David Bowie,0,1,0,0,0,0,0,1,0,0,0
Devo,0,0,0,0,1,2,0,1,0,0,0
Dinosaur Jr.,4,0,0,0,1,0,0,0,0,1,0
DJ Krush,0,0,0,0,0,0,0,0,1,0,0
DJ Shadow,1,0,0,0,0,0,0,0,0,0,0
Dr. Dog,0,0,1,0,0,0,0,0,0,1,0
Enoch,0,0,0,0,0,0,0,0,0,0,13
Euphone,0,0,0,0,0,0,0,0,0,1,0
Fugazi,0,0,0,0,0,0,0,0,1,7,0
Gang Starr,1,2,0,0,0,0,0,0,0,0,0
Iggy Pop,0,0,0,2,0,0,0,0,0,0,0
Iron Maiden,0,1,0,0,0,0,0,0,0,0,0
James Brown,0,0,0,0,0,0,0,1,0,0,0
Jimi Hendrix,0,0,0,0,0,0,0,1,0,1,0
John Maus,0,0,0,0,0,0,1,0,0,0,0
Jon Kennedy,0,1,0,0,0,0,0,0,0,0,0
Joy Division,0,0,0,0,0,3,0,1,0,0,0
Judas Priest,0,0,0,0,0,0,0,2,0,0,0
Led Zeppelin,0,0,0,0,0,0,0,1,0,0,1
Lynyrd Skynyrd,0,1,0,0,0,0,0,0,0,0,0
M83,1,0,0,0,0,0,0,0,0,0,0
Metallica,0,2,0,0,0,0,0,0,0,0,0
Minor Threat,0,0,0,0,0,0,0,1,0,0,0
Misfits,0,0,0,0,0,0,0,0,0,1,0
Modest Mouse,0,0,0,0,0,0,0,1,0,3,0
Motorhead,0,0,0,0,0,0,0,1,1,0,0
Mr. Dibbs,0,1,0,0,0,0,0,0,0,2,0
Mr. E,0,13,0,0,0,0,0,0,0,4,0
Nas,0,1,0,0,0,0,0,0,0,0,0
Nina Simone,0,0,1,0,0,0,0,0,0,0,0
Notorious B.I.G.,0,0,0,0,0,0,0,1,0,0,0
Odd Nosdam,0,1,0,0,0,0,0,0,0,0,0
Pixies,0,0,0,0,0,0,0,0,0,1,0
Public Enemy,0,0,0,0,0,0,0,1,0,0,0
Radiohead,1,0,0,0,0,0,0,0,0,0,0
RJD2,0,0,0,0,1,0,0,0,0,0,0
Slayer,0,0,0,0,0,0,0,0,0,1,0
Sonic Youth,0,0,0,0,0,0,0,0,0,1,0
Spoon,0,0,0,0,2,0,0,0,0,0,0
The Black Keys,0,1,0,0,0,0,0,0,0,1,0
The Brian Jonestown Massacre,0,0,0,0,1,0,0,1,0,0,0
The Kinks,0,0,0,0,3,0,0,0,0,0,0
The Pharcyde,0,0,0,0,0,0,0,0,0,1,1
The Rolling Stones,2,0,0,0,3,0,0,2,0,0,0
The Shins,0,0,0,0,0,0,0,0,0,3,0
Tommy Guerrero,0,2,0,0,0,0,0,5,1,0,0
Trans Am,0,0,0,0,0,0,0,0,0,10,0
TV On The Radio,0,0,0,1,0,0,0,0,1,0,0
Wolfmother,0,0,0,0,0,0,0,0,0,1,0
